value,index
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,45
0,46
0,47
0,48
0,49
0,50
0,51
0,52
0,53
0,54
0,55
0,56
0,57
1,58
1,59
1,60
1,61
1,62
1,63
1,64
1,65
2,66
2,67
2,68
3,69
3,70
4,71
5,72
6,73
7,74
8,75
9,76
10,77
11,78
12,79
13,80
14,81
16,82
17,83
18,84
19,85
21,86
23,87
25,88
27,89
28,90
30,91
31,92
32,93
33,94
34,95
36,96
37,97
38,98
39,99
39,100
40,101
41,102
42,103
43,104
44,105
45,106
46,107
47,108
47,109
48,110
48,111
49,112
50,113
50,114
51,115
51,116
51,117
52,118
52,119
53,120
53,121
54,122
54,123
55,124
55,125
55,126
56,127
56,128
57,129
57,130
57,131
58,132
58,133
59,134
59,135
60,136
60,137
60,138
61,139
61,140
61,141
61,142
62,143
109,144
109,145
110,146
110,147
110,148
110,149
110,150
110,151
110,152
110,153
111,154
111,155
111,156
111,157
111,158
111,159
111,160
111,161
111,162
111,163
111,164
111,165
111,166
112,167
112,168
112,169
112,170
112,171
112,172
112,173
112,174
112,175
112,176
112,177
112,178
112,179
112,180
112,181
112,182
112,183
112,184
112,185
112,186
112,187
112,188
112,189
112,190
112,191
113,192
113,193
113,194
113,195
113,196
113,197
113,198
113,199
113,200
113,201
113,202
113,203
113,204
113,205
113,206
113,207
113,208
113,209
113,210
113,211
113,212
113,213
113,214
113,215
113,216
113,217
114,218
114,219
114,220
114,221
114,222
114,223
114,224
114,225
114,226
114,227
114,228
114,229
114,230
114,231
114,232
114,233
114,234
115,235
115,236
115,237
115,238
115,239
115,240
115,241
115,242
115,243
115,244
115,245
115,246
115,247
115,248
115,249
115,250
115,251
116,252
116,253
116,254
255,255
